algo,param,time,fitness
RHC,10,0.003301858901977539,10.0
GA,200,0.8956727981567383,114.0
SA,20,0.3645188808441162,100.0
MIMIC,200,256.01475381851196,123.0
RHC,10,0.007092952728271484,13.0
GA,200,1.6582679748535156,117.0
SA,20,0.38401103019714355,182.0
MIMIC,200,174.8667230606079,118.0
RHC,10,0.003482818603515625,5.0
GA,200,1.0512728691101074,112.0
SA,20,0.3754301071166992,91.0
MIMIC,200,182.68462491035461,25.0
RHC,10,0.006278038024902344,4.0
GA,200,2.549914836883545,117.0
SA,20,0.5496711730957031,182.0
MIMIC,200,164.11009883880615,113.0
RHC,10,0.011749267578125,9.0
GA,200,1.0499749183654785,23.0
SA,20,0.6659238338470459,100.0
MIMIC,200,222.38212513923645,123.0
