algo,param,time,fitness
RHC,10,0.005754947662353516,10.0
GA,200,0.9448671340942383,114.0
SA,1.0,0.24716639518737793,60.0
MIMIC,200,147.25411701202393,134.0
RHC,10,0.0043337345123291016,5.0
GA,200,1.129734992980957,115.0
SA,1.0,0.31842684745788574,63.0
MIMIC,200,124.66441893577576,114.0
RHC,10,0.004180908203125,8.0
GA,200,0.5599517822265625,15.0
SA,1.0,0.18998289108276367,70.0
MIMIC,200,161.25406908988953,116.0
RHC,10,0.007267951965332031,5.0
GA,200,1.0128719806671143,114.0
SA,1.0,0.18368911743164062,68.0
MIMIC,200,118.05922603607178,20.0
RHC,10,0.006505012512207031,5.0
GA,200,0.8860127925872803,17.0
SA,1.0,0.17289996147155762,65.0
MIMIC,200,116.39813184738159,119.0
