"node1","node2"
1,5
1,10
1,13
1,14
1,16
1,22
1,23
1,24
2,3
2,12
2,14
2,15
2,21
2,23
3,2
3,12
3,13
3,14
3,15
3,19
3,23
3,25
4,5
4,8
4,13
4,19
4,21
4,22
4,24
5,1
5,4
5,6
5,7
5,10
5,17
5,18
5,20
5,21
6,5
6,7
6,10
6,11
6,13
6,14
6,18
6,24
7,5
7,6
7,8
7,19
7,20
7,24
8,4
8,7
8,10
8,13
8,14
8,17
8,21
8,23
8,25
9,10
9,11
9,16
9,18
9,20
9,21
9,24
9,25
10,1
10,5
10,6
10,8
10,9
10,11
10,15
10,17
10,18
10,19
11,6
11,9
11,10
11,12
11,16
11,17
11,19
11,23
11,24
12,2
12,3
12,11
12,18
12,20
12,21
13,1
13,3
13,4
13,6
13,8
13,19
14,1
14,2
14,3
14,6
14,8
14,15
14,16
14,19
14,22
14,23
14,24
15,2
15,3
15,10
15,14
15,19
15,22
15,25
16,1
16,9
16,11
16,14
16,17
16,18
16,22
16,24
16,25
17,5
17,8
17,10
17,11
17,16
17,20
18,5
18,6
18,9
18,10
18,12
18,16
18,19
18,21
18,25
19,3
19,4
19,7
19,10
19,11
19,13
19,14
19,15
19,18
19,20
19,24
19,25
20,5
20,7
20,9
20,12
20,17
20,19
20,21
20,24
20,25
21,2
21,4
21,5
21,8
21,9
21,12
21,18
21,20
21,24
22,1
22,4
22,14
22,15
22,16
22,24
23,1
23,2
23,3
23,8
23,11
23,14
23,24
24,1
24,4
24,6
24,7
24,9
24,11
24,14
24,16
24,19
24,20
24,21
24,22
24,23
25,3
25,8
25,9
25,15
25,16
25,18
25,19
25,20
